tid,pref_name,accession,organism,chembl_id,standard_value,standard_units,standard_type,chembl_id,smiles_processed
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,1300,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,13100,nM,IC50,CHEMBL516680,C1=C(N2N=C(C(F)(F)F)C=C2C2=CC(=O)N(C(F)F)C=C2)C=CC(S(=O)(=O)N)=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,7800,nM,IC50,CHEMBL463624,CS(=O)(=O)C1C=CC(N2N=C(C(F)(F)F)C=C2C2=CC(=O)N(C(F)F)C=C2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,8300,nM,IC50,CHEMBL507398,C1=C(N2N=C(C(F)(F)F)C=C2C2=CC(=NC=C2)Cl)C=CC(S(=O)(=O)N)=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,2900,nM,IC50,CHEMBL521,CC(CC1C=CC(C(C(O)=O)C)=CC=1)C
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,7700,nM,IC50,CHEMBL118,CC1C=CC(C2N(N=C(C(F)(F)F)C=2)C2C=CC(S(=O)(=O)N)=CC=2)=CC=1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,3300,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,13000,nM,IC50,CHEMBL521,CC(CC1C=CC(C(C(O)=O)C)=CC=1)C
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,1400,nM,IC50,CHEMBL6,CC1N(C(=O)C2C=CC(Cl)=CC=2)C2=C(C=1CC(O)=O)C=C(OC)C=C2
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,11000,nM,IC50,CHEMBL154,CC(C(O)=O)C1=CC2C(=CC(OC)=CC=2)C=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,18000,nM,IC50,CHEMBL521,CC(CC1C=CC(C(C(O)=O)C)=CC=1)C
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,80000,nM,IC50,CHEMBL251445,CC1C(OC2C(=C(O)C=C(O)C=2)C1)C1=CC(O)=C(O)C=C1
17019,Cyclooxygenase-1,O62664,Bos_taurus,CHEMBL2860,97000,nM,IC50,CHEMBL504481,COC1C(OC)=C(O)C=C(C2C(=O)C3C(OC=2)=CC(O)=CC=3O)C=1
